date,ticker,sector,close,daily_return,cumulative_return,rolling_volatility_5d,rolling_volatility_20d,month,is_outlier
2021-08-30 13:30:00,XLC,Communication Services,85.30000305175781,,0.0,,,8,False
2021-08-31 13:30:00,XLC,Communication Services,85.62000274658203,0.0037514617042868625,0.0037514617042868625,,,8,False
2021-09-01 13:30:00,XLC,Communication Services,86.05000305175781,0.005022194480050368,0.008792496754600476,,,9,False
2021-09-02 13:30:00,XLC,Communication Services,85.47000122070312,-0.006740288326379518,0.0019929444649862127,,,9,False
2021-09-03 13:30:00,XLC,Communication Services,85.47000122070312,0.0,0.0019929444649862127,,,9,False
2021-09-07 13:30:00,XLC,Communication Services,85.66999816894531,0.0023399666009802367,0.004337574489452267,0.004646978100676381,,9,False
2021-09-08 13:30:00,XLC,Communication Services,85.2300033569336,-0.00513592647853256,-0.0008206294527532965,0.004960639384201234,,9,False
2021-09-09 13:30:00,XLC,Communication Services,84.80999755859375,-0.0049279101466288555,-0.005744495611175293,0.0038641491387028386,,9,False
2021-09-10 13:30:00,XLC,Communication Services,84.26000213623047,-0.006485030517578982,-0.012192272899407719,0.0038017934186593693,,9,False
2021-09-13 13:30:00,XLC,Communication Services,84.47000122070312,0.002492274853413079,-0.00973038454114783,0.004386019669203544,,9,False
2021-09-14 13:30:00,XLC,Communication Services,83.73999786376953,-0.00864216107948479,-0.018288454070062743,0.004200278597580025,,9,False
2021-09-15 13:30:00,XLC,Communication Services,84.1500015258789,0.004896150854653447,-0.013481846245434692,0.005897492224011788,,9,False
2021-09-16 13:30:00,XLC,Communication Services,84.06999969482422,-0.000950705045799527,-0.014419734031981934,0.005760398318105798,,9,False
2021-09-17 13:30:00,XLC,Communication Services,83.13999938964844,-0.011062213733218806,-0.02532243358536268,0.006945254954900949,,9,False
2021-09-20 13:30:00,XLC,Communication Services,81.33000183105469,-0.02177047837240076,-0.04654163046505677,0.010175928692746744,,9,False
2021-09-21 13:30:00,XLC,Communication Services,80.98999786376953,-0.004180547886761921,-0.050527608836931526,0.01024675085964934,,9,False
2021-09-22 13:30:00,XLC,Communication Services,80.94999694824219,-0.0004938994515671924,-0.05099655273020509,0.008932383473476288,,9,False
2021-09-23 13:30:00,XLC,Communication Services,81.77999877929688,0.010253265748550566,-0.04126616818905726,0.011943847273531774,,9,False
2021-09-24 13:30:00,XLC,Communication Services,82.44999694824219,0.00819268988684474,-0.03341155922100392,0.012758600702115866,,9,False
2021-09-27 13:30:00,XLC,Communication Services,82.44000244140625,-0.0001212190079546982,-0.033528728112895756,0.00617897964689113,,9,False
2021-09-28 13:30:00,XLC,Communication Services,80.43000030517578,-0.02438139345834045,-0.0570926444589579,0.013769337731505182,0.008889925916676379,9,False
2021-09-29 13:30:00,XLC,Communication Services,80.36000061035156,-0.0008703182215419325,-0.057913273911711194,0.013764787723045551,0.008767225104621324,9,False
2021-09-30 13:30:00,XLC,Communication Services,80.11000061035156,-0.0031110004741313757,-0.06084410616324476,0.012141623572035586,0.008555340428874602,9,False
2021-10-01 13:30:00,XLC,Communication Services,81.45999908447266,0.016851809559799813,-0.045017629893344124,0.014678428505985596,0.009646921956059444,10,False
2021-10-04 13:30:00,XLC,Communication Services,79.69999694824219,-0.021605722514253634,-0.0656507139878727,0.016854796674944862,0.010537872878813009,10,False
2021-10-05 13:30:00,XLC,Communication Services,80.88999938964844,0.014931022421231122,-0.05169992384916444,0.015624374983074741,0.011252924558163244,10,False
2021-10-06 13:30:00,XLC,Communication Services,81.02999877929688,0.0017307379244009269,-0.05005866494365785,0.01557981896495116,0.011282811082064376,10,False
