date,ticker,sector,close
2021-08-30 13:30:00,XLC,Communication Services,85.30000305175781
2021-08-31 13:30:00,XLC,Communication Services,85.62000274658203
2021-09-01 13:30:00,XLC,Communication Services,86.05000305175781
2021-09-02 13:30:00,XLC,Communication Services,85.47000122070312
2021-09-03 13:30:00,XLC,Communication Services,85.47000122070312
2021-09-07 13:30:00,XLC,Communication Services,85.66999816894531
2021-09-08 13:30:00,XLC,Communication Services,85.2300033569336
2021-09-09 13:30:00,XLC,Communication Services,84.80999755859375
2021-09-10 13:30:00,XLC,Communication Services,84.26000213623047
2021-09-13 13:30:00,XLC,Communication Services,84.47000122070312
2021-09-14 13:30:00,XLC,Communication Services,83.73999786376953
2021-09-15 13:30:00,XLC,Communication Services,84.1500015258789
2021-09-16 13:30:00,XLC,Communication Services,84.06999969482422
2021-09-17 13:30:00,XLC,Communication Services,83.13999938964844
2021-09-20 13:30:00,XLC,Communication Services,81.33000183105469
2021-09-21 13:30:00,XLC,Communication Services,80.98999786376953
2021-09-22 13:30:00,XLC,Communication Services,80.94999694824219
2021-09-23 13:30:00,XLC,Communication Services,81.77999877929688
2021-09-24 13:30:00,XLC,Communication Services,82.44999694824219
2021-09-27 13:30:00,XLC,Communication Services,82.44000244140625
2021-09-28 13:30:00,XLC,Communication Services,80.43000030517578
2021-09-29 13:30:00,XLC,Communication Services,80.36000061035156
2021-09-30 13:30:00,XLC,Communication Services,80.11000061035156
2021-10-01 13:30:00,XLC,Communication Services,81.45999908447266
2021-10-04 13:30:00,XLC,Communication Services,79.69999694824219
2021-10-05 13:30:00,XLC,Communication Services,80.88999938964844
2021-10-06 13:30:00,XLC,Communication Services,81.02999877929688
2021-10-07 13:30:00,XLC,Communication Services,81.37999725341797
2021-10-08 13:30:00,XLC,Communication Services,80.9800033569336
2021-10-11 13:30:00,XLC,Communication Services,79.76000213623047
2021-10-12 13:30:00,XLC,Communication Services,79.0199966430664
2021-10-13 13:30:00,XLC,Communication Services,79.38999938964844
2021-10-14 13:30:00,XLC,Communication Services,80.51000213623047
2021-10-15 13:30:00,XLC,Communication Services,80.31999969482422
2021-10-18 13:30:00,XLC,Communication Services,80.94000244140625
2021-10-19 13:30:00,XLC,Communication Services,81.72000122070312
2021-10-20 13:30:00,XLC,Communication Services,81.87999725341797
2021-10-21 13:30:00,XLC,Communication Services,82.12000274658203
